# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-legal-eu-gdpr-iso27701
# mapping_set_description: DPV `legal/eu/gdpr` extension <-> ISO/IEC 27701:2019 (Privacy Information Management) clause alignment. LLM-seeded candidate alignments (Claude Opus 4.7) connecting GDPR Article references, lawful bases (A6-1-a … A6-1-f), special-category bases (A9-2-a …), accountability/transparency principles, data-subject rights (A13–A22), and breach-notification roles to ISO/IEC 27701 PII controller / processor clauses. Each row classifies as `semapv:LLMBasedMatching` per the Semantic Mapping Vocabulary and requires human review before promotion to `semapv:LLMBasedMatching`.
# mapping_set_version: 0.2
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: "https://github.com/copilot (model: Claude Opus 4.7)"
# curie_map:
#   legal_eu_gdpr: https://w3id.org/lmodel/dpv/legal/eu/gdpr/
#   iso27701: https://w3id.org/lmodel/iso27701/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
legal_eu_gdpr:LawfulnessPrinciple	Lawfulness, Fairness & Transparency Principle	skos:closeMatch	iso27701:Clause_5_2	Information security policies (extended for PII)	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:FairnessPrinciple	Fairness Principle	skos:closeMatch	iso27701:Clause_7_2_1	Identify and document purpose	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:TransparencyPrinciple	Transparency Principle	skos:closeMatch	iso27701:Clause_7_3_2	Information for PII principals	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:PurposeLimitationPrinciple	Purpose Limitation Principle	skos:closeMatch	iso27701:Clause_7_2_2	Identify lawful basis	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:DataMinimisationPrinciple	Data Minimisation Principle	skos:closeMatch	iso27701:Clause_7_4_1	Limit collection	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:AccuracyPrinciple	Accuracy Principle	skos:closeMatch	iso27701:Clause_7_4_3	Accuracy and quality	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:StorageLimitationPrinciple	Storage Limitation Principle	skos:closeMatch	iso27701:Clause_7_4_7	Retention	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:IntegrityConfidentialityPrinciple	Integrity & Confidentiality Principle	skos:closeMatch	iso27701:Clause_6_5	Information security policies and risk treatment	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:AccountabilityPrinciple	Accountability Principle	skos:closeMatch	iso27701:Clause_5_1	Leadership and commitment	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:Consent	Consent	skos:closeMatch	iso27701:Clause_7_2_3	Determine when and how consent is to be obtained	semapv:LLMBasedMatching	ISO/IEC 27701:2019
